Test,p-vals,Corrected p
TTEST_pf,0.349944203,0.37910621991666665
TTEST_r,0.902478036,0.902478036
Paired_pf_vr,0.000299637,0.001951287
Paired_r_vr,0.002245791,0.00729882075
TTEST_pre_vs_pre_r,0.000300198,0.001951287
TTEST_pre_vs_pre_pf,0.103335694,0.1480961911
Paired_pf_paper,0.006839844,0.014819661999999999
Paired_r_paper,0.001660419,0.007195149
time_vs_ability,0.005154651,0.013402092599999998
incorr_vs_ability,0.036504792,0.059320287
feedb_vs_ability,0.262991296,0.3108078952727273
gain_vs_ability_mr,0.033125266,0.059320287
gain_vs_ability_pf,0.113920147,0.1480961911
